fecha,deporte,evento,liga,apuesta,probabilidad,regla,resultado_real,acierto
2026-03-20 15:36,UFC,Shanelle Dyer vs Ravena Oliveira,UFC,,BAJA,0,,
2026-03-20 15:37,Fútbol,SK Sturm Graz vs RB Salzburg,Austria - Bundesliga,BTTS - SK Sturm Graz vs RB Salzburg,69.7,3,,
2026-03-20 15:50,NBA,Brooklyn Nets vs New York Knicks,NBA,GANA New York Knicks,69,3,,
2026-03-20 15:50,NBA,Detroit Pistons vs Golden State Warriors,NBA,GANA Detroit Pistons,62,3,,
2026-03-20 15:50,NBA,Houston Rockets vs Atlanta Hawks,NBA,GANA Houston Rockets,52,3,,
2026-03-20 15:51,NBA,Memphis Grizzlies vs Boston Celtics,NBA,GANA Boston Celtics,65,3,,
2026-03-20 15:51,NBA,Minnesota Timberwolves vs Portland Trail Blazers,NBA,GANA Minnesota Timberwolves,56,3,,
2026-03-20 15:51,NBA,Denver Nuggets vs Toronto Raptors,NBA,GANA Denver Nuggets,51,3,,
2026-03-20 15:51,UFC,Shanelle Dyer vs Ravena Oliveira,UFC,,ALTA,0,,
2026-03-20 15:57,NBA,Brooklyn Nets vs New York Knicks,NBA,GANA New York Knicks,69,3,,
2026-03-20 15:57,NBA,Detroit Pistons vs Golden State Warriors,NBA,GANA Detroit Pistons,62,3,,
2026-03-20 15:57,NBA,Houston Rockets vs Atlanta Hawks,NBA,GANA Houston Rockets,52,3,,
2026-03-20 15:57,NBA,Memphis Grizzlies vs Boston Celtics,NBA,GANA Boston Celtics,65,3,,
2026-03-20 15:57,NBA,Minnesota Timberwolves vs Portland Trail Blazers,NBA,GANA Minnesota Timberwolves,56,3,,
2026-03-20 15:57,NBA,Denver Nuggets vs Toronto Raptors,NBA,GANA Denver Nuggets,51,3,,
2026-03-20 16:00,UFC,Shanelle Dyer vs Ravena Oliveira,UFC,,ALTA,0,,
2026-03-20 16:16,NBA,Brooklyn Nets vs New York Knicks,NBA,GANA New York Knicks,65,0,,
2026-03-20 16:17,NBA,Detroit Pistons vs Golden State Warriors,NBA,GANA Detroit Pistons,65,0,,
2026-03-20 16:17,NBA,Houston Rockets vs Atlanta Hawks,NBA,GANA Houston Rockets,55,0,,
2026-03-20 16:17,NBA,Memphis Grizzlies vs Boston Celtics,NBA,GANA Boston Celtics,65,0,,
2026-03-20 16:17,NBA,Minnesota Timberwolves vs Portland Trail Blazers,NBA,GANA Minnesota Timberwolves,65,0,,
2026-03-20 16:17,NBA,Denver Nuggets vs Toronto Raptors,NBA,GANA Denver Nuggets,55,0,,
